gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalCharges_per_month,Churn
0,0,1,1,33,1,0,0,0,1,1,1,1,1,73.9,2405.05,0,0,1,0,0,0,1,70.73676470588236,1
1,1,1,0,54,1,1,0,1,0,0,1,1,1,101.5,5373.1,1,0,1,0,1,0,0,97.69272727272728,1
0,0,0,0,60,1,0,1,0,0,0,1,0,1,80.64016497746988,4825.245543942842,0,0,0,0,0,0,0,78.87221321431632,1
0,0,1,1,53,1,1,0,0,1,0,1,1,1,100.81240915477034,5293.250531616603,0,0,0,1,0,0,0,98.78455023834458,1
1,0,1,0,72,1,1,1,1,1,1,1,1,1,91.15,6637.9,0,0,0,1,0,0,0,90.93013698630136,0
0,1,0,0,34,1,1,0,0,0,0,1,0,1,94.09694127166199,3186.6821596633426,1,0,0,0,0,1,0,90.9281418836013,1
1,1,1,0,53,1,1,0,0,0,0,1,1,1,95.85,5016.25,1,0,1,0,1,0,0,92.89351851851852,0
1,0,0,1,8,0,0,1,0,0,0,0,1,1,38.5,330.8,0,0,0,0,0,1,0,36.75555555555556,0
0,0,0,0,21,1,0,0,0,0,0,1,1,1,101.29130981623263,2109.11335398416,1,0,0,0,0,0,0,95.09885891463982,1
0,0,0,0,13,1,0,0,0,0,0,0,0,1,70.15,931.75,1,0,0,0,0,1,0,66.55357142857143,0
0,0,1,0,34,1,1,0,1,0,0,0,1,0,88.85,3000.25,1,0,0,0,0,0,1,85.72142857142858,0
0,0,1,0,61,1,1,0,1,1,0,1,1,1,79.8,4914.8,0,0,1,0,0,1,0,79.2709677419355,0
1,0,1,1,57,1,1,1,0,1,1,1,1,1,84.5,4845.4,0,0,0,1,0,1,0,83.54137931034482,0
0,0,0,0,5,0,0,0,0,1,0,0,0,0,43.00992583141095,218.4718368291041,0,0,0,0,0,0,0,36.411972804850684,1
1,0,0,0,1,1,0,0,0,0,0,1,1,0,94.51359844887652,94.51359844887652,1,0,0,0,0,1,0,47.25679922443826,1
1,0,1,1,17,1,1,0,0,0,0,0,0,0,24.1,409.9,0,1,0,0,0,0,1,22.772222222222222,1
1,0,1,1,43,1,1,0,0,1,0,1,1,1,99.3,4209.95,1,0,0,0,0,0,0,95.68068181818181,0
1,0,0,0,66,0,0,1,0,1,1,1,1,1,61.35,4193.4,0,0,0,1,0,0,0,62.58805970149253,0
0,0,0,0,67,0,0,1,0,0,1,1,0,0,43.9,3097.2,0,0,0,1,0,1,0,45.54705882352941,0
1,0,0,0,10,1,0,0,0,0,0,0,0,1,19.8,198.25,0,1,1,0,0,0,1,18.022727272727273,0
0,0,0,0,52,1,1,1,1,1,1,1,1,1,89.25,4652.4,0,0,0,1,0,0,1,87.78113207547169,0
0,0,1,0,62,1,1,1,1,0,0,0,1,0,96.1,6001.45,1,0,1,0,0,1,0,95.2611111111111,0
0,0,0,0,10,0,0,0,0,0,0,0,0,0,31.379870518395343,303.9475787747019,0,0,0,0,0,0,0,26.088805334404462,1
1,0,1,1,1,1,0,0,0,0,0,1,0,1,80.05,80.05,1,0,0,0,0,0,1,40.025,1
0,0,1,1,49,1,1,0,0,1,0,1,1,1,99.8,4872.45,1,0,0,0,0,1,0,97.449,1
0,0,1,1,29,1,0,1,0,0,0,1,1,0,94.65,2649.15,1,0,0,0,1,0,0,88.305,1
1,0,1,1,23,0,0,1,0,0,1,0,0,0,34.6,813.45,0,0,0,1,0,0,1,33.893750000000004,0
1,0,1,0,1,0,0,0,0,0,0,0,0,1,24.8,24.8,0,0,0,0,0,1,0,12.4,1
